Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
,,10.1002/bse.2172,False,,,,,False,,
The Robustness of the Corporate Social and Financial Performance Relation: A Second‐Order Meta‐Analysis,,10.1002/csr.1480,True,The Robustness of the Corporate Social and Financial Performance Relation_ A Second_Order Meta_Analysis.pdf,2018,,Corporate Social Responsibility and Environmental Management,True,SciDB,"Busch, Timo and Friede, Gunnar"
Integrative Sustainable Intelligence: A holistic model to integrate corporate sustainability strategies,,10.1002/csr.1906,True,Integrative Sustainable Intelligence_ A holistic model to integrate corporate sustainability strategies.pdf,2020,,Corporate Social Responsibility and Environmental Management,True,SciDB,"Silvestre, Winston Jerónimo and Fonseca, Ana"
,,10.1007/s00187-017-0258-5,False,,,,,False,,
,,10.1007/s10490-014-9391-0,False,,,,,False,,
,,10.1007/s10551-012-1291-2,False,,,,,False,,
,,10.1007/s10551-015-2631-7,False,,,,,False,,
Factors affecting the outcome of corporate sustainability policy: a review paper,,10.1007/s11356-020-12143-7,True,Factors affecting the outcome of corporate sustainability policy_ a review paper.pdf,2021,,Environmental Science and Pollution Research,True,SciDB,"Ahmed, Mushtaq and Mubarik, Muhammad Shujaat and Shahbaz, Muhammad"
The GenAI is out of the bottle: generative artificial intelligence from a business model innovation perspective,,10.1007/s11846-023-00696-z,True,,2023,,Review of Managerial Science,False,,"Kanbach, Dominik K. and Heiduk, Louisa and Blueher, Georg and Schreiter, Maximilian and Lahmann, Alexander"
Generative AI in mobile networks: a survey,,10.1007/s12243-023-00980-9,True,,2023,,Annals of Telecommunications,False,,"Karapantelakis, Athanasios and Alizadeh, Pegah and Alabassi, Abdulrahman and Dey, Kaushik and Nikou, Alexandros"
Unravelling the Impact of Generative Artificial Intelligence (GAI) in Industrial Applications: A Review of Scientific and Grey Literature,,10.1007/s40171-023-00356-x,True,,2023,,Global Journal of Flexible Systems Management,False,,"Kar, Arpan Kumar and Varsha, P. S. and Rajan, Shivakami"
Does urbanization lead to less energy use and lower CO2 emissions? A cross-country analysis,,10.1016/j.ecolecon.2010.09.029,True,Does urbanization lead to less energy use and lower CO2 emissions_ A cross-country analysis.pdf,2010,,Ecological Economics,True,SciDB,"Poumanyvong, Phetkeo and Kaneko, Shinji"
Promoting corporate sustainability through sustainable resource management: A hybrid decision-making approach incorporating social media data,,10.1016/j.eiar.2020.106459,True,Promoting corporate sustainability through sustainable resource management_ A hybrid decision-making approach incorporating social media data.pdf,2020,,Environmental Impact Assessment Review,True,SciDB,"Xia, Li and Wei, Jiuchang and Gao, Shuo and Ma, Ben"
,,10.1016/j.emj.2014.07.005,False,,,,,False,,
Strategic perspectives of corporate sustainability management to develop a sustainable organization,,10.1016/j.jclepro.2016.04.146,True,Strategic perspectives of corporate sustainability management to develop a sustainable organization.pdf,2017,,Journal of Cleaner Production,True,SciDB,"Baumgartner, Rupert J. and Rauter, Romana"
Organizational capabilities towards corporate sustainability benefits: A systematic literature review and an integrative framework proposal,,10.1016/j.jclepro.2019.119114,True,Organizational capabilities towards corporate sustainability benefits_ A systematic literature review and an integrative framework proposal.pdf,2020,,Journal of Cleaner Production,True,SciDB,"Bezerra, Maria Clara da Cunha and Gohr, Cl√°udia Fabiana and Morioka, Sandra Naomi"
The Potential of Generative Artificial Intelligence Across Disciplines: Perspectives and Future Directions,,10.1080/08874417.2023.2261010,True,,2023,,Journal of Computer Information Systems,False,,"Ooi, Keng-Boon and Tan, Garry Wei-Han and Al-Emran, Mostafa and Al-Sharafi, Mohammed A. and Capatina, Alexandru and Chakraborty, Amrita and Dwivedi, Yogesh K. and Huang, Tzu-Ling and Kar, Arpan Kumar and Lee, Voon-Hsien and Loh, Xiu-Ming and Micu, Adrian and Mikalef, Patrick and Mogaji, Emmanuel and Pandey, Neeraj and Raman, Ramakrishnan and Rana, Nripendra P. and Sarker, Prianka and Sharma, Anshuman and Teng, Ching-I and Wamba, Samuel Fosso and Wong, Lai-Wan"
From fiction to fact: the growing role of generative AI in business and finance,,10.1080/14765284.2023.2245279,True,,2023,,Journal of Chinese Economic and Business Studies,False,,"Chen, Boyang and Wu, Zongxiao and Zhao, Ruoran"
ESG and financial performance: aggregated evidence from more than 2000 empirical studies,,10.1080/20430795.2015.1118917,True,ESG and financial performance_ aggregated evidence from more than 2000 empirical studies.pdf,2015,,Journal of Sustainable Finance &amp; Investment,True,SciDB,"Friede, Gunnar and Busch, Timo and Bassen, Alexander"
,,10.1108/IJAIM-01-2017-0002,False,,,,,False,,
,,10.1108/SRJ-02-2011-0018,False,,,,,False,,
Determinants of corporate sustainability performance – evidence from Brazilian panel data,,10.1108/SRJ-04-2018-0102,True,,2019,,Social Responsibility Journal,False,,"Crisóstomo, Vicente Lima and Freire, Fatima de Souza and Freitas, Maria Rafaela De Oliveira"
Corporate sustainability disclosure’s importance in China: financial analysts’ perception,,10.1108/SRJ-10-2018-0272,True,,2019,,Social Responsibility Journal,False,,"Zhang, Jhunru and Djajadikerta, Hadrian Geri and Trireksani, Terri"
"Leveraging ChatGPT and other generative artificial intelligence (AI)-based applications in the hospitality and tourism industry: practices, challenges and research agenda",,10.1108/ijchm-05-2023-0686,True,,2023,,International Journal of Contemporary Hospitality Management,False,,"Dwivedi, Yogesh K. and Pandey, Neeraj and Currie, Wendy and Micu, Adrian"
Generative AI for Industrial Applications: Synthetic Dataset,,10.1109/icitee59582.2023.10317774,True,,2023,,IEEE,False,,"Sasiaowapak, Thanyathep and Boonsang, Siridech and Chuwongin, Santhad and Tongloy, Teerawat and Lalitrojwong, Pattarachai"
ProcessGPT: Transforming Business Process Management with Generative Artificial Intelligence,,10.1109/icws60048.2023.00099,True,,2023,,IEEE,False,,"Beheshti, Amin and Yang, Jian and Sheng, Quan Z. and Benatallah, Boualem and Casati, Fabio and Dustdar, Schahram and Nezhad, Hamid Reza Motahari and Zhang, Xuyun and Xue, Shan"
Generative Artificial Intelligence in Marketing,,10.1109/mitp.2023.3314325,True,,2023,,IT Professional,False,,"Kshetri, Nir"
Generative AI for Software Practitioners,,10.1109/ms.2023.3265877,True,,2023,,IEEE Software,False,,"Ebert, Christof and Louridas, Panos"
Human resource management in the age of generative artificial intelligence: Perspectives and research directions on ChatGPT,,10.1111/1748-8583.12524,True,,2023,,Human Resource Management Journal,False,,"Budhwar, Pawan and Chowdhury, Soumyadeb and Wood, Geoffrey and Aguinis, Herman and Bamber, Greg J. and Beltran, Jose R. and Boselie, Paul and Lee Cooke, Fang and Decker, Stephanie and DeNisi, Angelo and Dey, Prasanta Kumar and Guest, David and Knoblich, Andrew J. and Malik, Ashish and Paauwe, Jaap and Papagiannidis, Savvas and Patel, Charmi and Pereira, Vijay and Ren, Shuang and Rogelberg, Steven and Saunders, Mark N. K. and Tung, Rosalie L. and Varma, Arup"
Can Shareholder Activism Improve Gender Diversity on Corporate Boards?,,10.1111/corg.12170,True,Can Shareholder Activism Improve Gender Diversity on Corporate Boards_.pdf,2016,,Corporate Governance: An International Review,True,SciDB,"Marquardt, Carol and Wiedman, Christine"
Corporate sustainability management accounting and multi‐level links for sustainability – A systematic review,,10.1111/ijmr.12288,True,,2022,,International Journal of Management Reviews,False,,"Schaltegger, Stefan and Christ, Katherine L. and Wenzig, Julius and Burritt, Roger L."
Artificial intelligence in logistics and supply chain management: A primer and roadmap for research,,10.1111/jbl.12364,True,,2023,,Journal of Business Logistics,False,,"Richey, Robert Glenn and Chowdhury, Soumyadeb and Davis‐Sramek, Beth and Giannakis, Mihalis and Dwivedi, Yogesh K."
Strategic CSR: A Concept Building Meta‐Analysis,,10.1111/joms.12514,True,Strategic CSR_ A Concept Building Meta_Analysis.pdf,2019,,Journal of Management Studies,True,SciDB,"Vishwanathan, Pushpika and van Oosterhout, Hans (J.) and Heugens, Pursey P. M. A. R. and Duran, Patricio and van Essen, Marc"
Investigating Explainability of Generative AI for Code through Scenario-based Design,,10.1145/3490099.3511119,True,,2022,,ACM,False,,"Sun, Jiao and Liao, Q. Vera and Muller, Michael and Agarwal, Mayank and Houde, Stephanie and Talamadupula, Kartik and Weisz, Justin D."
A Meta-Analytic Review of Corporate Social Responsibility and Corporate Financial Performance,,10.1177/0007650315584317,True,A Meta-Analytic Review of Corporate Social Responsibility and Corporate Financial Performance.pdf,2016,,Business &amp; Society,True,SciDB,"Wang, Qian and Dou, Junsheng and Jia, Shenghua"
Board Characteristics and Corporate Social Responsibility: A Meta-Analytic Investigation,,10.1177/0007650320930638,True,Board Characteristics and Corporate Social Responsibility_ A Meta-Analytic Investigation.pdf,2020,,Business &amp; Society,True,SciDB,"Endrikat, Jan and de Villiers, Charl and Guenther, Thomas W. and Guenther, Edeltraud M."
Socially Irresponsible and Illegal Behavior and Shareholder Wealth,,10.1177/000765039703600302,True,Socially Irresponsible and Illegal Behavior and Shareholder Wealth.pdf,1997,,Business &amp; Society,True,SciDB,"Frooman, Jeff"
Corporate Social and Financial Performance: A Meta-Analysis,,10.1177/0170840603024003910,True,Corporate Social and Financial Performance_ A Meta-Analysis.pdf,2003,,Organization Studies,True,SciDB,"Orlitzky, Marc and Schmidt, Frank L. and Rynes, Sara L."
Generative Artificial Intelligence in the Hospitality and Tourism Industry: Developing a Framework for Future Research,,10.1177/10963480231188663,True,,2023,,Journal of Hospitality &amp; Tourism Research,False,,"Dogru, Tarik and Line, Nathan and Mody, Makarand and Hanks, Lydia and Abbott, Jeâ€™Anna and Acikgoz, Fulya and Assaf, Albert and Bakir, Selim and Berbekova, Adiyukh and Bilgihan, Anil and Dalton, Alec and Erkmen, Ezgi and Geronasso, Mahala and Gomez, Dale and Graves, Sue and Iskender, Ali and Ivanov, Stanislav and Kizildag, Murat and Lee, Minwoo and Lee, Woojin and Luckett, John and McGinley, Sean and Okumus, Fevzi and Onder, Irem and Ozdemir, Ozgur and Park, Hyekyung and Sharma, Abhinav and Suess, Courtney and Uysal, Muzaffer and Zhang, Tingting"
The Effect of Green Accounting on Corporate Sustainability and Financial Performance,,10.13106/jafeb.2020.vol7.no12.731,True,,2020,,"The Journal of Asian Finance, Economics and Business",False,,"ENDIANA, I Dewa Made and DICRIYANI, Ni Luh Gd Mahayu and ADIYADNYA, Md Santana Putra and PUTRA, I Putu Mega Juli Semara"
The rise of generative AI and possible effects on the economy,,10.18559/ebr.2023.2.732,True,,2023,,Economics and Business Review,False,,"Orchard, Tim and Tasiemski, Leszek"
Does board composition influence CSR reporting? A meta-analysis,,10.22495/cocv16i2art5,True,,2019,,Corporate Ownership and Control,False,,"Velte, Patrick"
,,10.2308/jiar-51142,False,,,,,False,,
Corporate Sustainability Paradox Management: A Systematic Review and Future Agenda,,10.3389/fpsyg.2020.579272,True,Corporate Sustainability Paradox Management_ A Systematic Review and Future Agenda.pdf,2020,,Frontiers in Psychology,True,SciDB,"Luo, Ben Nanfeng and Tang, Ying and Chen, Erica Wen and Li, Shiqi and Luo, Dongying"
,,10.3390/s12218987,False,,,,,False,,
Corporate Sustainability in Bangladeshi Banks: Proactive or Reactive Ethical Behavior?,,10.3390/su12197999,True,Corporate Sustainability in Bangladeshi Banks_ Proactive or Reactive Ethical Behavior_.pdf,2020,,Sustainability,True,SciDB,"Weber, Olaf and Chowdury, Rezaul Karim"
The Social Dimensions of Corporate Sustainability: An Integrative Framework Including COVID-19 Insights,,10.3390/su12208747,True,The Social Dimensions of Corporate Sustainability_ An Integrative Framework Including COVID-19 Insights.pdf,2020,,Sustainability,True,SciDB,"Ikram, Muhammad and Zhang, Qingyu and Sroufe, Robert and Ferasso, Marcos"
Exploring the Process Toward Corporate Sustainability at a Thai SME,,10.3390/su12219204,True,Exploring the Process Toward Corporate Sustainability at a Thai SME.pdf,2020,,Sustainability,True,SciDB,"Kantabutra, Sooksan and Punnakitikashem, Prattana"
Corporate Sustainability: It’s Mine! Effect of Green Product Psychological Ownership on the Environmental Behavior and Performance of Employees,,10.3390/su122410514,True,Corporate Sustainability_ It_s Mine_ Effect of Green Product Psychological Ownership on the Environmental Behavior and Performance of Employees.pdf,2020,,Sustainability,True,SciDB,"Chang, Tai-Wei and Wang, Kuo-Hsuan and Lin, Yi-Hsiung"
Harnessing Corporate Sustainability Decision-Making Complexity: A Field Study of Complementary Approaches,,10.3390/su122410584,True,Harnessing Corporate Sustainability Decision-Making Complexity_ A Field Study of Complementary Approaches.pdf,2020,,Sustainability,True,SciDB,"Kafa, Nadine and Jaegler, Anicia and Sarkis, Joseph"
,,10.3390/su9030011,False,,,,,False,,
How to Bell the Cat? A Theoretical Review of Generative Artificial Intelligence towards Digital Disruption in All Walks of Life,,10.3390/technologies11020044,True,,2023,,Technologies,False,,"Mondal, Subhra and Das, Subhankar and Vrana, Vasiliki G."
,,10.3917/mana.055.0045,False,,,,,False,,
,,10.48550/arxiv.2305.06472,False,,,,,False,,
,,10.5281/zenodo.7644359,False,,,,,False,,
Cognitive Frames in Corporate Sustainability: Managerial Sensemaking with Paradoxical and Business Case Frames,,10.5465/amr.2012.0341,True,Cognitive Frames in Corporate Sustainability_ Managerial Sensemaking with Paradoxical and Business Case Frames.pdf,2014,,Academy of Management Review,True,SciDB,"Hahn, Tobias and Preuss, Lutz and Pinkse, Jonatan and Figge, Frank"
The Robustness of the Corporate Social and Financial Performance Relation: A Second‐Order Meta‐Analysis,,https://doi.org/10.1002/csr.1480,True,The Robustness of the Corporate Social and Financial Performance Relation_ A Second_Order Meta_Analysis.pdf,2018,,Corporate Social Responsibility and Environmental Management,True,SciDB,"Busch, Timo and Friede, Gunnar"
Market Reactions to Corporate Environmental Performance Related Events: A Meta-analytic Consolidation of the Empirical Evidence,,https://doi.org/10.1007/s10551-015-2598-0,True,Market Reactions to Corporate Environmental Performance Related Events_ A Meta-analytic Consolidation of the Empirical Evidence.pdf,2015,,Journal of Business Ethics,True,SciDB,"Endrikat, Jan"
Every Little Helps? ESG News and Stock Market Reaction,,https://doi.org/10.1007/s10551-017-3667-3,True,Every Little Helps_ ESG News and Stock Market Reaction.pdf,2017,,Journal of Business Ethics,True,SciDB,"Capelle-Blancard, Gunther and Petit, Aurélien"
"A bibliometric analysis on green finance: Current status, development, and future directions",,https://doi.org/10.1016/j.frl.2019.02.003,True,A bibliometric analysis on green finance_ Current status_ development_ and future directions.pdf,2019,,Finance Research Letters,True,SciDB,"Zhang, Dayong and Zhang, Zhiwei and Managi, Shunsuke"
Temperature shocks and the cost of equity capital: Implications for climate change perceptions,,https://doi.org/10.1016/j.jbankfin.2016.12.013,True,Temperature shocks and the cost of equity capital_ Implications for climate change perceptions.pdf,2017,,Journal of Banking &amp; Finance,True,SciDB,"Balvers, Ronald and Du, Ding and Zhao, Xiaobing"
Do investors care about carbon risk?,,https://doi.org/10.1016/j.jfineco.2021.05.008,True,Do investors care about carbon risk_.pdf,2021,,Journal of Financial Economics,True,SciDB,"Bolton, Patrick and Kacperczyk, Marcin"
Can Socially Responsible Investments Be Compatible with Financial Performance? A Meta‐analysis,,https://doi.org/10.1111/ajfs.12244,True,Can Socially Responsible Investments Be Compatible with Financial Performance_ A_Meta_analysis.pdf,2019,,Asia-Pacific Journal of Financial Studies,True,SciDB,"Kim, Chang‐Soo"
,,https://doi.org/10/gbmz8g,False,,,,,False,,
,,https://doi.org/10/ggkrcg,False,,,,,False,,
,,https://doi.org/10/ggkvnr,False,,,,,False,,
